"experiment","description","EFOType","EFOValue"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BRENC3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","clinical treatment","none"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BREN21"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BREN11"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BRENC2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BRENC1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BREN32"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BREN41"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10746>","Transcription profiling by array of human patients with acute myeloid leukemia and chemotherapy-induced oral mucositis","individual","BREN22"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10879>","Transcription profiling by array of human hormone-responsive MCF-7 cells versus estrogen-deprived breast cancer cells","cell type","epithelial cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10879>","Transcription profiling by array of human hormone-responsive MCF-7 cells versus estrogen-deprived breast cancer cells","phenotype","hormone independent"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10879>","Transcription profiling by array of human hormone-responsive MCF-7 cells versus estrogen-deprived breast cancer cells","cell line","MCF-7:2A"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10879>","Transcription profiling by array of human hormone-responsive MCF-7 cells versus estrogen-deprived breast cancer cells","disease","breast cancer"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10879>","Transcription profiling by array of human hormone-responsive MCF-7 cells versus estrogen-deprived breast cancer cells","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10879>","Transcription profiling by array of human hormone-responsive MCF-7 cells versus estrogen-deprived breast cancer cells","cell line","MCF-7:5C"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10879>","Transcription profiling by array of human hormone-responsive MCF-7 cells versus estrogen-deprived breast cancer cells","phenotype","estrogen dependent"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10879>","Transcription profiling by array of human hormone-responsive MCF-7 cells versus estrogen-deprived breast cancer cells","cell line","MCF-7"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","Compound treatment","ESR1 siRNA control"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","disease","breast cancer"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MCF-7"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","time","18 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","Compound treatment","none"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","BT474"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","time","0 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","BT474EI"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDAMB231"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MT3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","CAMA1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","time","72 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","Compound treatment","control for ESR1 siRNA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","Compound treatment","mir-221/222 mimic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC1806"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","Compound treatment","ESR1 siRNA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","DU4475"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDAMB361.1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","Compound treatment","control for mir-221/222 inhibitor"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","CAL51"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","KPL1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDA231"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC38"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","ZR75"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC70"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","Compound treatment","control for mir-221/222 mimic"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","Compound treatment","mir-221/222 inhibitor"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","UACC893"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","CAL148"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDA435"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","T47D"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDA361"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","EFM192A"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDAMB415"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC1937"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","AU565"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDA468"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDAMB468"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","UACC812"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","SW527"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","EFM19"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDA175"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","BT549"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HS578T"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","SKBR3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","BT474.tb"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC1954"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","T47D1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC1419"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC1569"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC1395"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDAMB453"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HDQP1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","CAL120"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","EVSA1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","JIMT-1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","CAL851"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","BT5491"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MFM-223"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC1500"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","SKBR31"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC2218"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","CAL1201"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC1428"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","ZR75-1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","BT483"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MDA436"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","MCF 10A"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10890>","Transcription profiling of human breast cancer cell line profiles","cell line","HCC1143"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10799>","Transcription profiling of human primary lung adenocarcinomas","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10799>","Transcription profiling of human primary lung adenocarcinomas","organism part","lung"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10799>","Transcription profiling of human primary lung adenocarcinomas","sex","male"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10799>","Transcription profiling of human primary lung adenocarcinomas","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10799>","Transcription profiling of human primary lung adenocarcinomas","Clinical info","no tumor cells in bone marrow"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10799>","Transcription profiling of human primary lung adenocarcinomas","individual","AC 8"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-10799>","Transcription profiling of human primary lung adenocarcinomas","disease","pulmonary adenocarcinoma"
